id,year,abbr,region,voting,continent,wpei,liberties,society,participation,category,categoryvalue,wpei_category,change_point,decade
3,1900,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1901,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1902,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1903,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1904,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1905,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1906,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1907,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1908,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1909,MEX,Mexico,0,Americas,0.172,0.289,0.089,0.116,nascent,1,nascent,No Change,1900
3,1910,MEX,Mexico,0,Americas,0.176,0.289,0.101,0.116,nascent,1,nascent,No Change,1910
3,1911,MEX,Mexico,0,Americas,0.188,0.311,0.107,0.116,nascent,1,emerging,No Change,1910
3,1912,MEX,Mexico,0,Americas,0.202,0.311,0.107,0.163,emerging,2,emerging,No Change,1910
3,1913,MEX,Mexico,0,Americas,0.201,0.311,0.102,0.163,emerging,2,emerging,No Change,1910
3,1914,MEX,Mexico,0,Americas,0.201,0.311,0.102,0.163,emerging,2,emerging,No Change,1910
3,1915,MEX,Mexico,0,Americas,0.201,0.311,0.102,0.163,emerging,2,emerging,No Change,1910
3,1916,MEX,Mexico,0,Americas,0.203,0.311,0.102,0.163,emerging,2,emerging,No Change,1910
3,1917,MEX,Mexico,0,Americas,0.196,0.301,0.105,0.163,emerging,2,emerging,No Change,1910
3,1918,MEX,Mexico,0,Americas,0.214,0.345,0.105,0.163,emerging,2,emerging,No Change,1910
3,1919,MEX,Mexico,0,Americas,0.214,0.345,0.105,0.163,emerging,2,emerging,No Change,1910
3,1920,MEX,Mexico,0,Americas,0.22,0.345,0.105,0.175,emerging,2,emerging,No Change,1920
3,1921,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1922,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1923,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1924,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1925,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1926,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1927,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1928,MEX,Mexico,0,Americas,0.223,0.374,0.105,0.175,emerging,2,emerging,No Change,1920
3,1929,MEX,Mexico,0,Americas,0.244,0.374,0.106,0.236,emerging,2,emerging,No Change,1920
3,1930,MEX,Mexico,0,Americas,0.25,0.39,0.106,0.236,emerging,2,emerging,No Change,1930
3,1931,MEX,Mexico,0,Americas,0.25,0.39,0.106,0.236,emerging,2,emerging,No Change,1930
3,1932,MEX,Mexico,0,Americas,0.25,0.39,0.106,0.236,emerging,2,emerging,No Change,1930
3,1933,MEX,Mexico,0,Americas,0.25,0.39,0.106,0.236,emerging,2,emerging,No Change,1930
3,1934,MEX,Mexico,0,Americas,0.254,0.399,0.106,0.236,emerging,2,emerging,No Change,1930
3,1935,MEX,Mexico,0,Americas,0.254,0.399,0.106,0.236,emerging,2,emerging,No Change,1930
3,1936,MEX,Mexico,0,Americas,0.254,0.399,0.106,0.236,emerging,2,emerging,No Change,1930
3,1937,MEX,Mexico,0,Americas,0.254,0.399,0.106,0.236,emerging,2,emerging,No Change,1930
3,1938,MEX,Mexico,0,Americas,0.254,0.399,0.106,0.236,emerging,2,emerging,No Change,1930
3,1939,MEX,Mexico,0,Americas,0.262,0.427,0.113,0.236,emerging,2,emerging,No Change,1930
3,1940,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1941,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1942,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1943,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1944,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1945,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1946,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1947,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1948,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1949,MEX,Mexico,0,Americas,0.262,0.427,0.115,0.236,emerging,2,emerging,No Change,1940
3,1950,MEX,Mexico,0,Americas,0.262,0.427,0.114,0.236,emerging,2,emerging,No Change,1950
3,1951,MEX,Mexico,0,Americas,0.262,0.427,0.114,0.236,emerging,2,emerging,No Change,1950
3,1952,MEX,Mexico,0,Americas,0.284,0.427,0.174,0.246,emerging,2,emerging,No Change,1950
3,1953,MEX,Mexico,0,Americas,0.284,0.427,0.174,0.246,emerging,2,emerging,No Change,1950
3,1954,MEX,Mexico,0,Americas,0.32,0.504,0.189,0.246,emerging,2,emerging,No Change,1950
3,1955,MEX,Mexico,1,Americas,0.33,0.504,0.189,0.278,emerging,2,emerging,Change,1950
3,1956,MEX,Mexico,1,Americas,0.33,0.504,0.189,0.278,emerging,2,emerging,Change,1950
3,1957,MEX,Mexico,1,Americas,0.334,0.504,0.197,0.278,emerging,2,emerging,Change,1950
3,1958,MEX,Mexico,1,Americas,0.349,0.504,0.197,0.322,developing,3,developing,Change,1950
3,1959,MEX,Mexico,1,Americas,0.349,0.504,0.197,0.322,developing,3,developing,Change,1950
3,1960,MEX,Mexico,1,Americas,0.352,0.513,0.197,0.322,developing,3,developing,Change,1960
3,1961,MEX,Mexico,1,Americas,0.348,0.513,0.197,0.311,developing,3,developing,Change,1960
3,1962,MEX,Mexico,1,Americas,0.348,0.513,0.197,0.311,developing,3,developing,Change,1960
3,1963,MEX,Mexico,1,Americas,0.348,0.513,0.197,0.311,developing,3,developing,Change,1960
3,1964,MEX,Mexico,1,Americas,0.359,0.513,0.198,0.347,developing,3,developing,Change,1960
3,1965,MEX,Mexico,1,Americas,0.387,0.513,0.198,0.426,developing,3,developing,Change,1960
3,1966,MEX,Mexico,1,Americas,0.387,0.513,0.198,0.426,developing,3,developing,Change,1960
3,1967,MEX,Mexico,1,Americas,0.383,0.513,0.198,0.415,developing,3,developing,Change,1960
3,1968,MEX,Mexico,1,Americas,0.418,0.513,0.292,0.442,developing,3,developing,Change,1960
